"Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer"
"2023.12.07,07:30:56,40.6277,29.2318,10.8,-.-,1.4,-.-,KADIKOY-(YALOVA)"
"2023.12.07,07:28:05,38.1370,36.1750,5.0,-.-,2.1,-.-,GUZELIM-TUFANBEYLI(ADANA)"
"2023.12.07,07:24:34,38.0953,38.7350,5.6,-.-,1.6,-.-,KORUCAK-PUTURGE(MALATYA)"
"2023.12.07,07:12:10,38.4472,37.6333,2.3,-.-,1.1,-.-,ASAGIULUPINAR-DARENDE(MALATYA)"
"2023.12.07,06:33:57,39.9390,38.9130,5.3,-.-,1.5,-.-,YURTBASI-REFAHIYE(ERZINCAN)"
"2023.12.07,06:29:30,37.4788,38.8833,21.4,-.-,1.8,-.-,KIRBASI-HILVAN(SANLIURFA)"
"2023.12.07,05:40:17,40.8120,34.7233,7.4,-.-,2.0,-.-,AYVAKOY-DODURGA(CORUM)"
"2023.12.07,05:29:44,38.1368,37.1287,6.0,-.-,2.3,-.-,IGDE-ELBISTAN(KAHRAMANMARAS)"
"2023.12.07,05:18:36,40.2493,33.3765,7.9,-.-,1.5,-.-,ALTINTAS-KALECIK(ANKARA)"
"2023.12.07,04:54:08,38.7892,37.4803,5.0,-.-,2.0,-.-,BAGLICAY-GURUN(SIVAS)"
"2023.12.07,04:30:05,38.0323,37.5745,5.0,-.-,3.2,3.2,GOVDELI-DOGANSEHIR(MALATYA)"
"2023.12.07,03:50:44,38.4897,37.5115,19.6,-.-,1.0,-.-,GUDUL-DARENDE(MALATYA)"
"2023.12.07,03:33:12,35.1658,24.1105,8.3,-.-,2.9,-.-,GIRIT,ADASI(AKDENIZ)"
"2023.12.07,03:07:19,40.2157,42.0922,8.8,-.-,2.1,-.-,ASAGI,CAMLIKALE-HORASAN(ERZURUM)"
"2023.12.07,02:56:21,37.8645,27.5973,5.0,-.-,2.1,-.-,GERMENCIK(AYDIN)"
"2023.12.07,02:55:07,37.2120,28.1613,3.0,-.-,1.7,-.-,CIRPI-(MUGLA)"
"2023.12.07,02:30:17,38.3933,37.6185,5.4,-.-,1.1,-.-,YUKARIULUPINAR-DARENDE(MALATYA)"
"2023.12.07,02:29:12,37.3703,38.7632,5.5,-.-,1.9,-.-,AKPINAR-(SANLIURFA)"
"2023.12.07,02:25:19,37.3600,38.7778,2.1,-.-,1.7,-.-,CULMEN-(SANLIURFA)"
"2023.12.07,02:21:28,35.8640,35.6247,10.8,-.-,2.3,-.-,AKDENIZ,Ýlksel"
"2023.12.07,02:05:18,34.7523,25.4023,16.9,-.-,2.3,-.-,GIRIT,ADASI(AKDENIZ)"
"2023.12.07,02:01:42,37.9013,37.9087,5.2,-.-,1.6,-.-,ERKENEK-DOGANSEHIR(MALATYA)"
"2023.12.07,01:57:51,40.4330,28.8595,12.2,-.-,1.4,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.07,01:43:31,40.4452,28.8617,4.9,-.-,1.0,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.07,01:28:02,38.4422,37.6168,4.8,-.-,0.9,-.-,ASAGIULUPINAR-DARENDE(MALATYA)"
